season,coms,nas,cyl,fuel,weight
1950,1.5L,4.5L,No Limit,No limit,No limit
1952,,2.0L,,,No limit
1954,0.75L,2.5L,,,No limit
1958,,,,,
1961,Banned,1.3 - 1.5L,,,450kg
1966,1.5L,3.0L,,,500kg
1967,,,,,
1968,,,,,
1970,0.5L,,,,530kg
1972,1.5L,,,,550kg
1973,,,,,575kg
1977,,,,,
1981,,,,,585kg
1982,,,,,580kg
1983,,,,,540kg
1984,,,,220L,
1986,,Banned,,195L,
1987,,3.5L,,195L (Turbo),500kg
1988,,,,155L,
1989,Banned,,,No limit,
1994,,,,,
1995,,3.0L,,,595kg
2004,,,,,605kg (Q) 600kg (Other)
2005,,,,,
2006,,2.4L,V8,,
2009,,,,,
2010,,,,,620kg
2011,,,,,640kg
2012,,,,,
2014,1.6L,Banned,V6T,100kg,691kg
2016,,,,,702kg
2017,,,,105kg,728kg
